article,question,question_chars,question_words
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╤ü╤ç╨╡╤é,**Как пополнить индивидуальный инвестиционный счет (ИИС)?**,59,6
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╤ü╤ç╨╡╤é,**Можно ли пополнить ИИС с карты другого банка?**,49,8
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╤ü╤ç╨╡╤é,**Есть ли комиссия за пополнение ИИС?**,39,6
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╤ü╤ç╨╡╤é,**Какая максимальная сумма пополнения ИИС?**,44,5
╨Ü╨░╨║ ╨┐╨╛╨┐╨╛╨╗╨╜╨╕╤é╤î ╤ü╤ç╨╡╤é,**Можно ли перевести бумаги с брокерского счета на ИИС?**,57,9
╨Æ╨╕╤Ç╤é╤â╨░╨╗╤î╨╜╤ï╨╡ ╨┐╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕ ╨╛╤é ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Что такое виртуальные подарочные акции и как они работают?**,62,9
╨Æ╨╕╤Ç╤é╤â╨░╨╗╤î╨╜╤ï╨╡ ╨┐╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕ ╨╛╤é ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как распаковать виртуальные акции и где их можно увидеть в приложении Т‑Инвестиций?**,87,12
╨Æ╨╕╤Ç╤é╤â╨░╨╗╤î╨╜╤ï╨╡ ╨┐╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕ ╨╛╤é ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как продать виртуальные акции и какие условия нужно выполнить для их продажи?**,81,12
╨Æ╨╕╤Ç╤é╤â╨░╨╗╤î╨╜╤ï╨╡ ╨┐╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕ ╨╛╤é ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Нужно ли платить налог при продаже виртуальных подарочных акций?**,68,9
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ ╤ü ╤à╤Ç╨░╨╜╨╡╨╜╨╕╨╡╨╝ ╨▓ ╨¥╨á╨ö,**Какие активы считаются заблокированными и почему они не могут быть проданы на бирже?**,88,13
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ ╤ü ╤à╤Ç╨░╨╜╨╡╨╜╨╕╨╡╨╝ ╨▓ ╨¥╨á╨ö,**Каким образом можно продать заблокированные активы на внебиржевом рынке?**,76,9
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ ╤ü ╤à╤Ç╨░╨╜╨╡╨╜╨╕╨╡╨╝ ╨▓ ╨¥╨á╨ö,**Какие риски существуют при внебиржевых торгах заблокированными активами?**,76,8
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ ╤ü ╤à╤Ç╨░╨╜╨╡╨╜╨╕╨╡╨╝ ╨▓ ╨¥╨á╨ö,**Какие активы можно купить на внебиржевом рынке и как это сделать?**,69,11
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ ╤ü ╤à╤Ç╨░╨╜╨╡╨╜╨╕╨╡╨╝ ╨▓ ╨¥╨á╨ö,**Как рассчитывается налог при торговле заблокированными активами на внебиржевом рынке?**,89,10
"╨Æ╤ï╤ç╨╡╤é╤ï, ╤ü╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡, ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨╕ WΓüá-Γüá8BEN",**Что такое сальдирование убытков и как его провести?**,55,8
"╨Æ╤ï╤ç╨╡╤é╤ï, ╤ü╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡, ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨╕ WΓüá-Γüá8BEN",**Какие документы нужны для сальдирования убытков?**,52,6
"╨Æ╤ï╤ç╨╡╤é╤ï, ╤ü╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡, ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨╕ WΓüá-Γüá8BEN",**Что такое перенос убытков прошлых лет и как он работает?**,60,10
"╨Æ╤ï╤ç╨╡╤é╤ï, ╤ü╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡, ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨╕ WΓüá-Γüá8BEN",**Как отразить перенос убытков в декларации 3-НДФЛ?**,53,7
"╨Æ╤ï╤ç╨╡╤é╤ï, ╤ü╨░╨╗╤î╨┤╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡, ╨┐╨╡╤Ç╨╡╨╜╨╛╤ü ╤â╨▒╤ï╤é╨║╨╛╨▓ ╨╕ WΓüá-Γüá8BEN",**Что такое форма W-8BEN и для чего она нужна?**,48,9
╨á╨░╤ü╤ç╨╡╤é ╤ü╤Ç╨╡╨┤╨╜╨╡╨╕╠å ╤å╨╡╨╜╤ï ╨┐╨╛╨║╤â╨┐╨║╨╕ ╨▓╨░╨╗╤Ä╤é╤ï,Что такое средняя цена покупки валюты?,38,6
╨á╨░╤ü╤ç╨╡╤é ╤ü╤Ç╨╡╨┤╨╜╨╡╨╕╠å ╤å╨╡╨╜╤ï ╨┐╨╛╨║╤â╨┐╨║╨╕ ╨▓╨░╨╗╤Ä╤é╤ï,Как рассчитывается средняя цена покупки валюты?,47,6
╨á╨░╤ü╤ç╨╡╤é ╤ü╤Ç╨╡╨┤╨╜╨╡╨╕╠å ╤å╨╡╨╜╤ï ╨┐╨╛╨║╤â╨┐╨║╨╕ ╨▓╨░╨╗╤Ä╤é╤ï,Как изменяется средняя цена покупки валюты при продаже части валюты?,68,10
╨á╨░╤ü╤ç╨╡╤é ╤ü╤Ç╨╡╨┤╨╜╨╡╨╕╠å ╤å╨╡╨╜╤ï ╨┐╨╛╨║╤â╨┐╨║╨╕ ╨▓╨░╨╗╤Ä╤é╤ï,Как влияет на среднюю цену покупка и получение дивидендов или купонов в валюте?,79,13
╨Ü╨░╨║ ╤Ç╨░╤ü╤ü╤ç╨╕╤é╤ï╨▓╨░╤Ä╤é╤ü╤Å ╨┐╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,**Что такое бенчмарк стратегии и как он рассчитывается?**,57,8
╨Ü╨░╨║ ╤Ç╨░╤ü╤ü╤ç╨╕╤é╤ï╨▓╨░╤Ä╤é╤ü╤Å ╨┐╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,**Что такое точность следования и как она рассчитывается?**,59,8
╨Ü╨░╨║ ╤Ç╨░╤ü╤ü╤ç╨╕╤é╤ï╨▓╨░╤Ä╤é╤ü╤Å ╨┐╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,**Что такое емкость стратегии и как она рассчитывается?**,57,8
╨Ü╨░╨║ ╤Ç╨░╤ü╤ü╤ç╨╕╤é╤ï╨▓╨░╤Ä╤é╤ü╤Å ╨┐╨░╤Ç╨░╨╝╨╡╤é╤Ç╤ï ╤ü╤é╤Ç╨░╤é╨╡╨│╨╕╨╕ ╨▓ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╕,"**Как рассчитывается емкость коллекции, в состав которой входят акции или паи иностранных фондов?**",99,13
╨í╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,**Что такое структурные облигации и как они работают?**,55,8
╨í╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,**Какие риски связаны с инвестированием в структурные облигации?**,66,8
╨í╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,"**Каковы основные параметры структурных облигаций, на которые стоит обратить внимание?**",88,10
╨í╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,**Чем структурные облигации отличаются от облигаций со структурным доходом?**,77,9
╨Ü╨░╨║╨╕╨╡ ╨╜╨░╨╗╨╛╨│╨╕ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╨┐╨╛ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╡,**Какие налоги нужно платить с дохода по Инвесткопилке?**,57,8
╨Ü╨░╨║╨╕╨╡ ╨╜╨░╨╗╨╛╨│╨╕ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╨┐╨╛ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╡,**Как налоги по Инвесткопилке сочетаются с налогами по брокерскому счету?**,75,10
╨Ü╨░╨║╨╕╨╡ ╨╜╨░╨╗╨╛╨│╨╕ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╨┐╨╛ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╡,**Какие документы по Инвесткопилке можно получить?**,52,6
╨Ü╨░╨║╨╕╨╡ ╨╜╨░╨╗╨╛╨│╨╕ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╨┐╨╛ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╡,**Как рассчитывается налог на доход по Инвесткопилке?**,55,7
╨Ü╨░╨║╨╕╨╡ ╨╜╨░╨╗╨╛╨│╨╕ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╨┐╨╛ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨╡,"**Что делать, если на брокерском счете есть убыток, а по Инвесткопилке — доход?**",81,13
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨░╨║╤å╨╕╨╕,Что такое акция?,16,3
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨░╨║╤å╨╕╨╕,Как можно заработать на акциях?,31,5
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨░╨║╤å╨╕╨╕,Чем отличаются привилегированные акции от обыкновенных?,55,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨░╨║╤å╨╕╨╕,Что такое депозитарные расписки на акции?,41,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨░╨║╤å╨╕╨╕,Чем акции отличаются от облигаций?,34,5
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤â╤Ä ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Ä,Что такое маржинальная торговля?,32,4
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤â╤Ä ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Ä,Как подключить или отключить маржинальную торговлю?,51,6
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤â╤Ä ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Ä,Какие комиссии есть в маржинальной торговле?,44,6
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤â╤Ä ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Ä,Что такое ликвидный портфель и ставка риска?,44,7
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤â╤Ä ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Ä,Что такое маржин-колл и как его избежать?,41,7
╨₧╨▒╨╛╤ü╨╛╨▒╨╗╨╡╨╜╨╕╨╡ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╤à ╨▒╤â╨╝╨░╨│ ╨┐╨╛╤ü╨╗╨╡ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨│╨╛ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨░,"**Что значит, что российские ценные бумаги обосабливаются после депозитарного перевода?**",89,10
╨₧╨▒╨╛╤ü╨╛╨▒╨╗╨╡╨╜╨╕╨╡ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╤à ╨▒╤â╨╝╨░╨│ ╨┐╨╛╤ü╨╗╨╡ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨│╨╛ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨░,**Какие бумаги обосабливаются?**,32,3
╨₧╨▒╨╛╤ü╨╛╨▒╨╗╨╡╨╜╨╕╨╡ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╤à ╨▒╤â╨╝╨░╨│ ╨┐╨╛╤ü╨╗╨╡ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨│╨╛ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨░,**Почему происходит обособление бумаг?**,40,4
╨₧╨▒╨╛╤ü╨╛╨▒╨╗╨╡╨╜╨╕╨╡ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╤à ╨▒╤â╨╝╨░╨│ ╨┐╨╛╤ü╨╗╨╡ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨│╨╛ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨░,**Как разблокировать бумаги после обособления?**,48,5
╨₧╨▒╨╛╤ü╨╛╨▒╨╗╨╡╨╜╨╕╨╡ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╤à ╨▒╤â╨╝╨░╨│ ╨┐╨╛╤ü╨╗╨╡ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨│╨╛ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨░,**Когда бумаги разблокируются?**,32,3
╨í╨▒╨░╨╗╨░╨╜╤ü╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╕╠å ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î ╨╕ ╨╝╨╕╨╜╨╕╨╝╨╕╨╖╨░╤å╨╕╤Å ╤Ç╨╕╤ü╨║╨╛╨▓,**Что такое диверсификация инвестиционного портфеля и как она помогает избежать рисков?**,89,11
╨í╨▒╨░╨╗╨░╨╜╤ü╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╕╠å ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î ╨╕ ╨╝╨╕╨╜╨╕╨╝╨╕╨╖╨░╤å╨╕╤Å ╤Ç╨╕╤ü╨║╨╛╨▓,**Какой портфель считается оптимальным для инвестора?**,55,6
╨í╨▒╨░╨╗╨░╨╜╤ü╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╕╠å ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î ╨╕ ╨╝╨╕╨╜╨╕╨╝╨╕╨╖╨░╤å╨╕╤Å ╤Ç╨╕╤ü╨║╨╛╨▓,**Что такое агрессивный инвестиционный портфель и в чем его риски?**,68,10
╨í╨▒╨░╨╗╨░╨╜╤ü╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╕╠å ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î ╨╕ ╨╝╨╕╨╜╨╕╨╝╨╕╨╖╨░╤å╨╕╤Å ╤Ç╨╕╤ü╨║╨╛╨▓,**Как сформировать инвестиционный портфель?**,45,4
╨í╨▒╨░╨╗╨░╨╜╤ü╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╨╕╠å ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î ╨╕ ╨╝╨╕╨╜╨╕╨╝╨╕╨╖╨░╤å╨╕╤Å ╤Ç╨╕╤ü╨║╨╛╨▓,**Какие существуют примеры готовых сбалансированных портфелей?**,64,6
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤ä╨╛╨╜╨┤╨╛╨▓╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,**Что такое фондовый рынок и как он устроен?**,46,8
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤ä╨╛╨╜╨┤╨╛╨▓╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,**Кто является главным регулятором фондового рынка в России?**,62,8
